Date,SST_Anomaly_Forecast,Nino34_Forecast
2025-01-01,0.29497284,-0.36618373
2025-02-01,0.24861716,-0.255993
2025-03-01,0.24038024,-0.12031483
2025-04-01,0.25978857,-0.00875949
2025-05-01,0.302513,0.043786876
2025-06-01,0.3616205,0.029628351
2025-07-01,0.4183173,-0.025003383
2025-08-01,0.44070482,-0.06804027
2025-09-01,0.40208253,-0.048518274
2025-10-01,0.31229,0.042522047
2025-11-01,0.2217615,0.15548864
2025-12-01,0.17436184,0.2272429
